Time,Value
50,269
100,272
150,272
201,271
251,271
302,271
353,271
403,271
453,270
504,272
555,272
605,273
656,272
706,273
756,272
807,273
858,271
908,272
959,270
1009,273
1059,273
1111,274
1161,272
1211,270
1262,272
1312,270
1362,274
1414,273
1464,270
1514,272
1565,273
1615,271
1667,272
1717,271
1767,273
1818,273
1868,273
1918,272
1970,271
2020,270
2070,267
2121,267
2171,267
2223,268
2273,268
2323,266
2374,267
2424,267
2475,268
2526,267
2576,264
2626,269
2677,267
2727,266
2779,266
2829,264
2879,266
2930,265
2980,268
3031,266
3082,264
3132,265
3182,264
3233,265
3283,266
3335,267
3385,264
3435,266
3486,265
3536,267
3587,263
3638,268
3688,266
3738,266
3789,267
3840,266
3890,266
3941,266
3991,268
4042,266
4092,266
4143,267
4194,265
4244,267
4294,266
4345,264
4396,266
4446,267
4497,267
4547,266
4598,267
4648,266
4699,264
4750,265
4800,264
4850,265
4901,266
4952,265
5002,267
5053,268
5103,267
5154,265
5204,265
5255,267
5306,267
5356,268
5406,267
5457,264
5508,269
5558,265
5609,265
5659,266
5710,264
5761,267
5811,265
5862,269
5912,268
5962,265
6013,267
6064,267
6114,266
6165,266
6215,263
6266,268
6317,265
6367,264
6418,265
6468,262
6518,267
6569,267
6620,268
6670,268
6721,266
6771,269
6822,269
6873,270
6923,269
6974,270
7024,269
7074,268
7126,268
7176,269
7226,269
7277,271
7327,269
7378,271
7429,271
7479,269
7530,268
7580,268
7630,270
7682,270
7732,268
7782,268
7833,267
7883,266
7934,269
7985,268
8035,269
8086,265
8136,266
8186,266
8238,269
8288,267
8338,266
8389,269
8439,268
8491,268
8541,267
8591,266
8642,268
8692,268
8742,267
8794,266
8844,266
8894,267
8945,265
8995,267
9047,268
9097,266
9147,264
9198,265
9248,265
9298,267
9350,264
9400,265
9450,266
9501,265
9551,265
9602,265
9653,266
9703,266
9754,265
9804,266
9854,265
9906,268
9956,265
10006,266
10057,264
10107,263
10159,266
10209,266
10259,265
10310,266
10360,266
10412,265
10462,266
10513,263
10563,264
10613,265
10664,266
10715,266
10766,267
10816,266
10866,267
10917,267
10968,264
11019,266
11069,265
11120,265
11170,267
11220,264
11272,265
11322,265
11373,266
11423,267
11473,267
11525,265
11575,267
11626,267
11676,265
11726,264
11778,267
11828,266
11879,266
11929,267
11980,266
12030,264
12081,267
12132,263
12182,265
12233,266
12283,265
12334,265
12385,266
12435,265
12486,265
12536,266
12588,267
12638,266
12688,267
12739,265
12789,265
12840,261
12891,267
12941,266
12992,262
13042,266
13093,266
13144,265
13194,265
13245,265
13295,265
13346,265
13396,266
13448,266
13498,266
13548,266
13599,267
13649,268
13701,266
13751,265
13801,265
13852,265
13902,265
13954,268
14004,266
14055,266
14105,266
14155,264
14206,267
14257,264
14308,264
14358,265
14408,265
14459,266
14510,266
14561,266
14611,265
14661,266
14712,262
14763,266
14814,265
14864,263
14915,265
14965,265
15015,265
15067,265
15117,267
15168,265
15218,266
15268,265
15320,266
15370,266
15421,266
15471,265
15522,267
15572,265
15623,264
15674,266
15724,265
15775,266
15825,266
15876,265
15927,265
15977,266
16028,266
16078,266
16130,265
16180,264
16230,265
16281,265
16331,265
16382,264
16433,265
16483,264
16534,264
16584,263
16635,264
16686,267
16736,266
16787,266
16837,265
16888,265
16939,265
16990,266
17040,265
17090,267
17141,265
17191,265
17243,265
17293,266
17343,266
17394,268
17444,265
17496,264
17546,266
17597,266
17647,265
17697,265
17748,263
17799,266
17850,266
17900,264
17950,264
18001,265
18052,265
18103,266
18153,266
18204,264
18254,265
18305,266
18356,265
18406,263
18457,267
18507,265
18557,267
18609,266
18659,265
18710,267
18760,264
18810,266
18862,265
18912,262
18963,268
19013,267
19064,266
19115,267
19165,266
19216,265
19266,267
19317,266
19367,265
19418,264
19469,264
19519,268
19570,265
19620,266
19672,264
19722,265
19772,266
19823,266
19873,264
19924,266
19975,265
