Time,Value
50,266
100,265
150,266
201,264
251,268
302,264
353,265
403,266
453,265
504,264
555,265
605,266
656,265
706,267
756,268
807,267
858,266
908,266
959,265
1009,263
1059,265
1111,266
1161,267
1211,265
1262,264
1312,265
1362,266
1414,265
1464,267
1514,265
1565,266
1615,266
1667,264
1717,266
1767,264
1818,265
1868,267
1918,266
1970,266
2020,265
2070,265
2121,267
2171,266
2223,267
2273,267
2323,266
2374,264
2424,267
2475,265
2526,266
2576,266
2626,265
2677,265
2727,265
2779,266
2829,265
2879,264
2930,266
2980,265
3031,265
3082,266
3132,265
3182,267
3233,266
3283,266
3335,265
3385,264
3435,267
3486,266
3536,268
3587,266
3638,265
3688,267
3738,267
3789,265
3840,265
3890,264
3941,268
3991,266
4042,265
4092,266
4143,266
4194,265
4244,266
4294,266
4345,267
4396,266
4446,264
4497,266
4547,266
4598,267
4648,267
4699,267
4750,268
4800,267
4850,266
4901,267
4952,266
5002,266
5053,267
5103,268
5154,266
5204,267
5255,266
5306,265
5356,267
5406,266
5457,267
5508,268
5558,266
5609,266
5659,266
5710,267
5761,265
5811,266
5862,268
5912,266
5962,266
6013,266
6064,267
6114,267
6165,267
6215,267
6266,266
6317,266
6367,268
6418,265
6468,267
6518,265
6569,266
6620,265
6670,265
6721,265
6771,264
6822,264
6873,266
6923,266
6974,267
7024,266
7074,264
7126,265
7176,267
7226,266
7277,265
7327,266
7378,265
7429,266
7479,267
7530,265
7580,267
7630,266
7682,266
7732,265
7782,267
7833,268
7883,266
7934,266
7985,266
8035,267
8086,266
8136,265
8186,266
8238,266
8288,265
8338,266
8389,266
8439,268
8491,269
8541,267
8591,267
8642,266
8692,268
8742,268
8794,267
8844,269
8894,265
8945,267
8995,267
9047,268
9097,268
9147,265
9198,269
9248,267
9298,268
9350,266
9400,267
9450,268
9501,268
9551,269
9602,267
9653,265
9703,266
9754,263
9804,265
9854,266
9906,265
9956,267
10006,264
10057,265
10107,264
10159,263
10209,265
10259,265
10310,263
10360,268
10412,266
10462,267
10513,276
10563,268
10613,266
10664,269
10715,268
10766,269
10816,267
10866,266
10917,267
10968,267
11019,265
11069,267
11120,268
11170,265
11220,267
11272,266
11322,264
11373,268
11423,268
11473,267
11525,267
11575,267
11626,266
11676,268
11726,266
11778,267
11828,267
11879,268
11929,268
11980,269
12030,268
12081,272
12132,269
12182,267
12233,267
12283,266
12334,266
12385,269
12435,268
12486,267
12536,268
12588,266
12638,267
12688,268
12739,267
12789,269
12840,268
12891,267
12941,267
12992,268
13042,268
13093,266
13144,267
13194,267
13245,267
13295,265
13346,267
13396,267
13448,266
13498,266
13548,269
13599,267
13649,265
13701,268
13751,266
13801,267
13852,268
13902,269
13954,269
14004,268
14055,265
14105,268
14155,268
14206,267
14257,267
14308,268
14358,268
14408,268
14459,267
14510,267
14561,265
14611,265
14661,267
14712,268
14763,267
14814,267
14864,265
14915,265
14965,266
15015,265
15067,264
15117,266
15168,264
15218,265
15268,266
15320,265
15370,267
15421,265
15471,265
15522,265
15572,266
15623,264
15674,267
15724,265
15775,266
15825,264
15876,267
15927,266
15977,267
16028,267
16078,266
16130,267
16180,267
16230,266
16281,267
16331,265
16382,268
16433,268
16483,268
16534,268
16584,266
16635,267
16686,267
16736,267
16787,266
16837,268
16888,267
16939,265
16990,269
17040,266
17090,267
17141,267
17191,267
17243,268
17293,266
17343,266
17394,269
17444,268
17496,268
17546,269
17597,270
17647,271
17697,270
17748,271
17799,269
17850,273
17900,272
17950,271
18001,269
18052,270
18103,270
18153,269
18204,272
18254,271
18305,270
18356,268
18406,271
18457,269
18507,268
18557,271
18609,271
18659,271
18710,271
18760,270
18810,270
18862,270
18912,271
18963,272
19013,273
19064,271
19115,272
19165,273
19216,272
19266,271
19317,274
19367,272
19418,272
19469,273
19519,271
19570,278
19620,273
19672,278
19722,263
19772,254
19823,250
19873,256
19924,257
19975,257
20025,252
20076,253
20126,252
20177,254
20228,265
20279,267
20329,272
20379,271
20430,270
20481,274
20532,269
20582,272
20632,271
20683,271
20733,270
20785,270
20835,271
20885,269
20936,270
20986,271
21038,272
21088,273
21139,272
21189,272
21239,269
21291,270
21341,271
21392,271
21442,271
21492,271
21543,271
21594,272
21645,271
21695,269
21746,273
21796,272
21847,272
21898,271
21948,270
21999,272
22049,271
22099,271
22151,271
22201,273
22252,270
22302,271
22353,271
22404,271
22454,272
22505,273
22555,272
22606,273
22657,273
22707,273
22758,272
22808,272
22859,273
22909,271
22960,267
23011,259
23061,254
23112,256
23162,257
23214,256
23264,254
23314,254
23365,254
23415,254
23467,254
23517,252
23567,253
23618,254
23668,259
23719,256
23770,255
23821,256
23871,255
23921,257
23972,271
24023,265
24074,269
24124,263
24174,268
24225,269
24275,266
24327,267
24377,268
24428,266
24478,271
24528,272
24580,269
24630,272
24681,270
24731,272
24781,273
24833,273
24883,272
24934,271
24984,272
25034,271
25085,271
25136,272
25187,273
25237,274
25288,272
25338,271
25389,272
25440,271
25490,273
25541,271
25591,272
25641,273
25693,272
25743,271
25794,273
25844,269
25895,272
25946,273
25996,273
26047,273
26097,270
26148,272
26199,273
26249,271
26300,270
26350,273
26401,272
26451,271
26503,272
26553,271
26603,270
26654,272
26704,272
26756,273
26806,272
26856,272
26907,272
26957,272
27009,272
27059,271
27110,271
27160,269
27210,270
27261,270
27312,268
27363,270
27413,268
27463,268
27514,269
27565,269
27616,269
27666,268
27716,268
27767,269
27817,268
27869,268
27919,267
27970,267
28020,268
28070,268
28122,269
28172,267
28223,268
28273,269
28323,269
28375,266
28425,269
28476,267
28526,269
28577,269
28627,268
28678,268
28729,270
28779,266
28830,268
28880,269
28931,267
28982,269
29032,270
29083,267
29133,269
29185,268
29235,266
29285,267
29336,267
29386,268
29437,267
29488,266
29538,266
29589,267
29639,266
29690,267
29741,265
29791,264
29842,265
29892,264
29943,267
29993,265
30045,265
30095,265
30145,265
30196,265
30246,264
30298,267
30348,264
30398,266
30449,266
30499,264
30551,268
